Iteration,Ground_Truth_Count,Predicted_Count,Recall (%),Precision (%),sTILS Density (%),Time_Duration(sec)
46,36,50,97.22222222222221,70.0,26.260504201680675,1296.587100982666
47,36,50,97.22222222222221,70.0,26.260504201680675,1298.4574213027954
48,36,50,97.22222222222221,70.0,26.260504201680675,1300.206570148468
49,36,50,97.22222222222221,70.0,26.260504201680675,1302.0958783626556
50,36,50,97.22222222222221,70.0,26.260504201680675,1304.0274996757507
51,36,50,97.22222222222221,70.0,26.260504201680675,1305.837819814682
52,36,50,97.22222222222221,70.0,26.260504201680675,1307.7008130550385
53,36,50,97.22222222222221,70.0,26.260504201680675,1309.443055152893
54,36,50,97.22222222222221,70.0,26.260504201680675,1311.2553663253784
55,36,50,97.22222222222221,70.0,26.260504201680675,1313.1673827171326
56,36,50,97.22222222222221,70.0,26.260504201680675,1315.042025089264
57,36,50,97.22222222222221,70.0,26.260504201680675,1316.9144525527954
58,36,50,97.22222222222221,70.0,26.260504201680675,1318.8590743541718
59,36,50,97.22222222222221,70.0,26.260504201680675,1320.685353755951
60,36,50,97.22222222222221,70.0,26.260504201680675,1322.536992073059
61,36,50,97.22222222222221,70.0,26.260504201680675,1324.435112953186
62,36,50,97.22222222222221,70.0,26.260504201680675,1326.4329557418823
63,36,50,97.22222222222221,70.0,26.260504201680675,1328.2453970909119
64,36,50,97.22222222222221,70.0,26.260504201680675,1330.0314095020294
65,36,50,97.22222222222221,70.0,26.260504201680675,1332.010442018509
66,36,50,97.22222222222221,70.0,26.260504201680675,1333.938158750534
67,36,50,97.22222222222221,70.0,26.260504201680675,1335.9234278202057
68,36,50,97.22222222222221,70.0,26.260504201680675,1337.8114280700684
69,36,50,97.22222222222221,70.0,26.260504201680675,1339.5840137004852
70,36,50,97.22222222222221,70.0,26.260504201680675,1341.480504989624
71,36,50,97.22222222222221,70.0,26.260504201680675,1343.388887166977
72,36,50,97.22222222222221,70.0,26.260504201680675,1345.2938497066498
73,36,50,97.22222222222221,70.0,26.260504201680675,1347.2738499641418
74,36,50,97.22222222222221,70.0,26.260504201680675,1349.0995500087738
75,36,50,97.22222222222221,70.0,26.260504201680675,1351.0811002254486
76,36,50,97.22222222222221,70.0,26.260504201680675,1352.996238231659
77,36,50,97.22222222222221,70.0,26.260504201680675,1355.0788371562958
78,36,50,97.22222222222221,70.0,26.260504201680675,1356.8815426826477
79,36,50,97.22222222222221,70.0,26.260504201680675,1358.7327151298523
80,36,50,97.22222222222221,70.0,26.260504201680675,1360.6542229652405
81,36,50,97.22222222222221,70.0,26.260504201680675,1362.6227531433105
82,36,50,97.22222222222221,70.0,26.260504201680675,1364.5736711025238
83,36,50,97.22222222222221,70.0,26.260504201680675,1366.3401515483856
84,36,50,97.22222222222221,70.0,26.260504201680675,1368.306650876999
85,36,50,97.22222222222221,70.0,26.260504201680675,1370.1789252758026
86,36,50,97.22222222222221,70.0,26.260504201680675,1372.2157702445984
87,36,50,97.22222222222221,70.0,26.260504201680675,1374.0939319133759
88,36,50,97.22222222222221,70.0,26.260504201680675,1376.307677268982
89,36,50,97.22222222222221,70.0,26.260504201680675,1378.1730737686157
90,36,50,97.22222222222221,70.0,26.260504201680675,1380.1969969272614
