Iteration,Ground_Truth_Count,Predicted_Count,Accuracy (%),sTILS Density (%),Time_Duration(sec)
0,9,91,-811.1111111111111,54.166666666666664,32.81435012817383
1,9,154,-1511.111111111111,91.66666666666666,37.356688022613525
2,9,87,-766.6666666666666,51.78571428571429,41.59961700439453
3,9,180,-1800.0,107.14285714285714,45.79795241355896
4,9,88,-777.7777777777778,52.38095238095239,49.987468242645264
5,9,71,-588.8888888888889,42.26190476190476,54.276461362838745
6,9,45,-300.0,26.785714285714285,58.544739723205566
7,9,47,-322.22222222222223,27.976190476190478,62.618884325027466
8,9,28,-111.11111111111111,16.666666666666664,66.77572536468506
9,9,135,-1300.0,80.35714285714286,70.97868585586548
10,9,41,-255.55555555555554,24.404761904761905,75.33915138244629
11,9,117,-1100.0,69.64285714285714,79.47841548919678
12,9,138,-1333.3333333333335,82.14285714285714,83.83641338348389
13,9,69,-566.6666666666667,41.07142857142857,87.83701300621033
14,9,12,66.66666666666667,7.142857142857142,91.7758436203003
15,9,11,77.77777777777777,6.547619047619048,96.05244207382202
16,9,67,-544.4444444444445,39.88095238095239,100.17922616004944
17,9,10,88.88888888888889,5.952380952380952,104.24344730377197
18,9,6,66.66666666666667,3.571428571428571,108.25926160812378
19,9,6,66.66666666666667,3.571428571428571,111.2967541217804
20,9,9,100.0,5.357142857142857,114.2512469291687
21,9,6,66.66666666666667,3.571428571428571,118.28227806091309
22,9,6,66.66666666666667,3.571428571428571,121.26127982139587
23,9,72,-600.0,42.857142857142854,124.35034203529358
24,9,28,-111.11111111111111,16.666666666666664,128.37634921073914
25,9,7,77.77777777777777,4.166666666666666,131.43667674064636
26,9,6,66.66666666666667,3.571428571428571,134.44273114204407
27,9,6,66.66666666666667,3.571428571428571,137.12779808044434
28,9,6,66.66666666666667,3.571428571428571,138.96661972999573
29,9,6,66.66666666666667,3.571428571428571,140.8620936870575
30,9,6,66.66666666666667,3.571428571428571,142.59580254554749
31,9,6,66.66666666666667,3.571428571428571,144.5056917667389
